UID DA TOMADA,CIDADE,MORADA,OPERADOR,CCS2 Custo €,TYPE2 7kW Custo €,TYPE2 22kW Custo €,Duração (minutos) até 130kW,Duração (minutos) até 7kW,Duração (minutos) até 22kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,TIPO DE TOMADA,FORMATO DA TOMADA,ESTADO DO POSTO,ESTADO DA TOMADA
GDM-00007-1,Gondomar,Avenida Escritor Costa Barreto,EDP - EDP Comercial,2.836,9.735,5.337,37,583,144,74.0,"€0,297/charge ","€0,06/kWh ","€0,01/min ",Mennekes,SOCKET,Disponível,Disponível
GDM-00008-1,Gondomar,Avenida Escritor Costa Barreto,EDP - EDP Comercial,2.836,9.735,5.337,37,583,144,74.0,"€0,297/charge ","€0,06/kWh ","€0,01/min ",Mennekes,SOCKET,Disponível,Disponível
PRT-00028-1,Porto,Hotel Pestana Freixo,EDP - EDP Comercial,2.836,9.735,5.337,37,583,144,74.0,"€0,297/charge ","€0,06/kWh ","€0,01/min ",Mennekes,SOCKET,Disponível,Disponível
PRT-00029-1,Porto,Hotel Pestana Freixo,EDP - EDP Comercial,2.836,9.735,5.337,37,583,144,74.0,"€0,297/charge ","€0,06/kWh ","€0,01/min ",Mennekes,SOCKET,Disponível,Disponível
PRT-00031-1,Porto,Hotel Vila Galé Porto,EDP - EDP Comercial,2.836,9.735,5.337,37,583,144,74.0,"€0,297/charge ","€0,06/kWh ","€0,01/min ",Mennekes,SOCKET,Disponível,Disponível
PRT-00032-1,Porto,Hotel Vila Galé Porto,EDP - EDP Comercial,2.836,9.735,5.337,37,583,144,74.0,"€0,297/charge ","€0,06/kWh ","€0,01/min ",Mennekes,SOCKET,Disponível,Disponível
PRT-00033-1,Porto,Hotel Vila Galé Porto Ribeira,EDP - EDP Comercial,2.836,9.735,5.337,37,583,144,74.0,"€0,297/charge ","€0,06/kWh ","€0,01/min ",Mennekes,SOCKET,Disponível,Disponível
PRT-00034-1,Porto,Hotel Vila Galé Porto Ribeira,EDP - EDP Comercial,2.836,9.735,5.337,37,583,144,74.0,"€0,297/charge ","€0,06/kWh ","€0,01/min ",Mennekes,SOCKET,Disponível,Disponível
PRT-00177-02,Porto,"R. de Serralves, nº 124",EDP - EDP Comercial,2.836,9.735,5.337,37,583,144,74.0,"€0,297/charge ","€0,06/kWh ","€0,01/min ",Mennekes,SOCKET,Disponível,Disponível
PRT-00177-01,Porto,"R. de Serralves, nº 124",EDP - EDP Comercial,2.836,9.735,5.337,37,583,144,74.0,"€0,297/charge ","€0,06/kWh ","€0,01/min ",Mennekes,SOCKET,Disponível,Disponível
