"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"LRA-00089";"LRA-00089-03";"Rápido";"Disponível";"Leiria";"A1 km 125,7 (Sentido Sul/Norte)";"PRP - Propel - Produto do Petróleo";"Não";"Média Tensão";"€0,2608/charge ";"€0,15/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-05-11T18:19:19.91Z"
"LRA-00089";"LRA-00089-01";"Rápido";"Disponível";"Leiria";"A1 km 125,7 (Sentido Sul/Norte)";"PRP - Propel - Produto do Petróleo";"Não";"Média Tensão";"€0,2608/charge ";"€0,15/min ";"";"CHAdeMO";"CABLE";"50";"Fora de Serviço";"2023-05-11T18:19:19.91Z"
"LRA-90001";"LRA-90001-02";"Normal";"Disponível";"Leiria";"Rua Francisco Clemente";"HRZ - Power dot";"Não";"Baixa Tensão Normal";"€0,0046/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-08T19:10:11.064Z"
"LRA-90001";"LRA-90001-01";"Normal";"Disponível";"Leiria";"Rua Francisco Clemente";"HRZ - Power dot";"Não";"Baixa Tensão Normal";"€0,0046/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-08T19:10:11.064Z"
"LRA-90002";"LRA-90002-1";"Normal";"Disponível";"Leiria";"Estrada da Mata";"HRZ - Power dot";"Não";"Baixa Tensão Normal";"€0,0046/min ";"";"";"Mennekes";"SOCKET";"3,7";"Em uso";"2023-05-11T18:31:16.359Z"
"LRA-90002";"LRA-90002-2";"Normal";"Disponível";"Leiria";"Estrada da Mata";"HRZ - Power dot";"Não";"Baixa Tensão Normal";"€0,0046/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-11T18:31:16.359Z"
"LRA-90003";"LRA-90003-2";"Normal";"Disponível";"Leiria";"Rua Olimpio Duarte Alves";"EDP - EDP Comercial";"Não";"Baixa Tensão Normal";"€0,004/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-11T18:35:36.758Z"
"LRA-90003";"LRA-90003-1";"Normal";"Disponível";"Leiria";"Rua Olimpio Duarte Alves";"EDP - EDP Comercial";"Não";"Baixa Tensão Normal";"€0,004/min ";"";"";"Mennekes";"SOCKET";"3,7";"Em uso";"2023-05-11T18:35:36.758Z"
"LRA-90004";"LRA-90004-1";"Semirrápido";"Disponível";"Leiria";"Avenida 22 de Maio";"KLC - Atlante";"Não";"Baixa Tensão Normal";"€0,015/min ";"";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T17:47:52.665Z"
"LRA-90004";"LRA-90004-2";"Semirrápido";"Disponível";"Leiria";"Avenida 22 de Maio";"KLC - Atlante";"Não";"Baixa Tensão Normal";"€0,015/min ";"";"";"Mennekes";"SOCKET";"22";"Em uso";"2023-05-11T17:47:52.665Z"
"LRA-90005";"LRA-90005-6";"Normal";"Disponível";"Leiria";"Via do Polis Leiria";"GLP - Galp";"Não";"Baixa Tensão Normal";"€0,0059/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-11T17:35:00.034Z"
"LRA-90005";"LRA-90005-5";"Normal";"Disponível";"Leiria";"Via do Polis Leiria";"GLP - Galp";"Não";"Baixa Tensão Normal";"€0,0059/min ";"";"";"Mennekes";"SOCKET";"3,7";"Offline";"2023-05-11T17:35:00.034Z"
"LRA-90005";"LRA-90005-1";"Normal";"Disponível";"Leiria";"Via do Polis Leiria";"GLP - Galp";"Não";"Baixa Tensão Normal";"€0,0059/min ";"";"";"Mennekes";"SOCKET";"3,7";"Offline";"2023-05-11T17:35:00.034Z"
"LRA-90005";"LRA-90005-4";"Normal";"Disponível";"Leiria";"Via do Polis Leiria";"GLP - Galp";"Não";"Baixa Tensão Normal";"€0,0059/min ";"";"";"Mennekes";"SOCKET";"3,7";"Offline";"2023-05-11T17:35:00.034Z"
"LRA-90005";"LRA-90005-3";"Normal";"Disponível";"Leiria";"Via do Polis Leiria";"GLP - Galp";"Não";"Baixa Tensão Normal";"€0,0059/min ";"";"";"Mennekes";"SOCKET";"3,7";"Offline";"2023-05-11T17:35:00.034Z"
"LRA-90005";"LRA-90005-2";"Normal";"Disponível";"Leiria";"Via do Polis Leiria";"GLP - Galp";"Não";"Baixa Tensão Normal";"€0,0059/min ";"";"";"Mennekes";"SOCKET";"3,7";"Offline";"2023-05-11T17:35:00.034Z"
"LRA-90006";"LRA-90006-1";"Normal";"Disponível";"Leiria";"Avenida Heróis de Angola";"HRZ - Power dot";"Não";"Baixa Tensão Normal";"€0,0037/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-11T18:30:04.085Z"
"LRA-90006";"LRA-90006-3";"Normal";"Disponível";"Leiria";"Avenida Heróis de Angola";"HRZ - Power dot";"Não";"Baixa Tensão Normal";"€0,0037/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-11T18:30:04.085Z"
"LRA-90006";"LRA-90006-4";"Normal";"Disponível";"Leiria";"Avenida Heróis de Angola";"HRZ - Power dot";"Não";"Baixa Tensão Normal";"€0,0037/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-11T18:30:04.085Z"
"LRA-90006";"LRA-90006-2";"Normal";"Disponível";"Leiria";"Avenida Heróis de Angola";"HRZ - Power dot";"Não";"Baixa Tensão Normal";"€0,0037/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-11T18:30:04.085Z"
"LRA-90007";"LRA-90007-2";"Semirrápido";"Disponível";"Leiria";"Largo da República";"EDP - EDP Comercial";"Não";"Baixa Tensão Normal";"€0,007/min ";"";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T17:47:31.378Z"
"LRA-90007";"LRA-90007-1";"Semirrápido";"Disponível";"Leiria";"Largo da República";"EDP - EDP Comercial";"Não";"Baixa Tensão Normal";"€0,007/min ";"";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T17:47:31.378Z"
"LRA-90009";"LRA-90009-02";"Normal";"Disponível";"Leiria";"Rua Luís Silveira Charters Azevedo";"EDP - EDP Comercial";"Não";"Baixa Tensão Normal";"€0,004/min ";"";"";"Mennekes";"SOCKET";"3,7";"Em uso";"2023-05-11T18:18:35.542Z"
"LRA-90009";"LRA-90009-01";"Normal";"Disponível";"Leiria";"Rua Luís Silveira Charters Azevedo";"EDP - EDP Comercial";"Não";"Baixa Tensão Normal";"€0,004/min ";"";"";"Mennekes";"SOCKET";"3,7";"Disponível";"2023-05-11T18:18:35.542Z"
"MGR-00003";"MGR-00003-03";"Rápido";"Disponível";"Marinha Grande";"Posto de Abastecimento BP Embra";"EDP - EDP Comercial";"Não";"Baixa Tensão Especial";"€0,297/charge ";"€0,1/min ";"";"Mennekes";"CABLE";"22";"Disponível";"2023-05-11T12:49:58.954Z"
"MGR-00003";"MGR-00003-01";"Rápido";"Disponível";"Marinha Grande";"Posto de Abastecimento BP Embra";"EDP - EDP Comercial";"Não";"Baixa Tensão Especial";"€0,297/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-11T12:49:58.954Z"
"MGR-00003";"MGR-00003-02";"Rápido";"Disponível";"Marinha Grande";"Posto de Abastecimento BP Embra";"EDP - EDP Comercial";"Não";"Baixa Tensão Especial";"€0,297/charge ";"€0,1/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-05-11T12:49:58.954Z"
"MGR-00006";"MGR-00006-02";"Semirrápido";"Disponível";"Marinha Grande";"R. de Leiria 112";"HRZ - Power dot";"Não";"Baixa Tensão Normal";"€0,3/charge ";"€0,025/min ";"";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-05-11T17:26:47.928Z"
"MGR-00006";"MGR-00006-01";"Semirrápido";"Disponível";"Marinha Grande";"R. de Leiria 112";"HRZ - Power dot";"Não";"Baixa Tensão Normal";"€0,3/charge ";"€0,025/min ";"";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-05-11T17:26:47.928Z"
"MGR-00007";"MGR-00007-03";"Rápido";"Disponível";"Marinha Grande";"R. Jornal da M.nha Grande 3";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"Mennekes";"CABLE";"22";"Disponível";"2023-05-11T16:45:19.71Z"
"MGR-00007";"MGR-00007-01";"Rápido";"Disponível";"Marinha Grande";"R. Jornal da M.nha Grande 3";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-11T16:45:19.71Z"
"MGR-00007";"MGR-00007-02";"Rápido";"Disponível";"Marinha Grande";"R. Jornal da M.nha Grande 3";"KLC - Atlante";"Não";"Média Tensão";"€0,2964/charge ";"€0,1/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-05-11T16:45:19.71Z"
