"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"PRT-00172";"PRT-00172-02";"Rápido";"Disponível";"Porto";"Estr. da CircunvalaÃ§Ã£o 12 843,";"KLC - Atlante";"Não";"Baixa Tensão Especial";"€0,2964/charge ";"€0,06/min ";"";"CCS";"CABLE";"30";"Disponível";"2023-04-22T08:06:42.604Z"
"PRT-00172";"PRT-00172-01";"Rápido";"Disponível";"Porto";"Estr. da CircunvalaÃ§Ã£o 12 843,";"KLC - Atlante";"Não";"Baixa Tensão Especial";"€0,2964/charge ";"€0,06/min ";"";"CHAdeMO";"CABLE";"30";"Disponível";"2023-04-22T08:06:42.604Z"
"PRT-00173";"PRT-00173-01";"Rápido";"Disponível";"Porto";"Estr. da Circunvalação 10853";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,1/kWh ";"€0,08/min ";"CCS";"CABLE";"100";"Disponível";"2023-04-23T14:13:51.449Z"
"PRT-00173";"PRT-00173-02";"Rápido";"Disponível";"Porto";"Estr. da Circunvalação 10853";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,1/kWh ";"€0,08/min ";"CHAdeMO";"CABLE";"60";"Disponível";"2023-04-23T14:13:51.449Z"
"PRT-00173";"PRT-00173-03";"Rápido";"Disponível";"Porto";"Estr. da Circunvalação 10853";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,1/kWh ";"€0,08/min ";"Mennekes";"SOCKET";"22";"Disponível";"2023-04-23T14:13:51.449Z"
"PRT-00176";"PRT-00176-01";"Semirrápido";"Disponível";"Porto";"R. de Serralves, nº 124";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-04-21T18:15:43.732Z"
"PRT-00176";"PRT-00176-02";"Semirrápido";"Disponível";"Porto";"R. de Serralves, nº 124";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-04-21T18:15:43.732Z"
"PRT-00177";"PRT-00177-02";"Semirrápido";"Disponível";"Porto";"R. de Serralves, nº 124";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,06/kWh ";"€0,01/min ";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-04-22T21:37:16.205Z"
"PRT-00177";"PRT-00177-01";"Semirrápido";"Disponível";"Porto";"R. de Serralves, nº 124";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,06/kWh ";"€0,01/min ";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-04-22T21:37:16.205Z"
"PRT-00178";"PRT-00178-01";"Semirrápido";"Disponível";"Porto";"R. de Serralves, nº 124";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,06/kWh ";"€0,01/min ";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-04-23T08:24:42.259Z"
"PRT-00178";"PRT-00178-02";"Semirrápido";"Disponível";"Porto";"R. de Serralves, nº 124";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,06/kWh ";"€0,01/min ";"Mennekes";"SOCKET";"7,4";"Disponível";"2023-04-23T08:24:42.259Z"
"PRT-00179";"PRT-00179-01";"Rápido";"Disponível";"Porto";"Burger King Av. Boavista - Av. Boavista 2600";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,07/kWh ";"€0,1/min ";"CCS";"CABLE";"120";"Disponível";"2023-04-22T19:04:18.651Z"
"PRT-00179";"PRT-00179-02";"Rápido";"Disponível";"Porto";"Burger King Av. Boavista - Av. Boavista 2600";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,07/kWh ";"€0,1/min ";"CHAdeMO";"CABLE";"60";"Disponível";"2023-04-22T19:04:18.651Z"
"PRT-00180";"PRT-00180-02";"Rápido";"Disponível";"Porto";"Rua de Júlio Dinis 320";"REP - Repsol";"Não";"Baixa Tensão Especial";"€0,261/charge ";"€0,12/min ";"";"CCS";"CABLE";"60";"Disponível";"2023-04-23T12:54:21.031Z"
"PRT-00180";"PRT-00180-03";"Rápido";"Disponível";"Porto";"Rua de Júlio Dinis 320";"REP - Repsol";"Não";"Baixa Tensão Especial";"€0,261/charge ";"€0,12/min ";"";"Mennekes";"CABLE";"22";"Disponível";"2023-04-23T12:54:21.031Z"
"PRT-00180";"PRT-00180-01";"Rápido";"Disponível";"Porto";"Rua de Júlio Dinis 320";"REP - Repsol";"Não";"Baixa Tensão Especial";"€0,261/charge ";"€0,12/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-23T12:54:21.031Z"
